date,pre_mean,hum_mean,hum_std,tem_mean,diff_mean,occ
2020-05-28 11:22:10,94808.285,58.391999999999996,0.007888106377464829,30.565999999999995,27.826,L
2020-05-28 11:22:20,94808.014,58.391,0.005676462121974529,30.57899999999999,27.81200000000001,L
2020-05-28 11:22:30,94808.00999999998,58.33299999999999,0.030203016773531162,30.583999999999993,27.749,L
2020-05-28 11:22:40,94808.662,58.32400000000001,0.019550504398151373,30.569,27.755000000000013,L
2020-05-28 11:22:50,94808.13600000001,58.370000000000005,0.009428090415822423,30.567999999999994,27.80200000000001,L
2020-05-28 11:23:00,94807.95300000001,58.36999999999999,0.0,30.57999999999999,27.79,L
2020-05-28 11:23:10,94807.871,58.379000000000005,0.003162277660170063,30.577999999999992,27.801000000000013,L
2020-05-28 11:23:20,94808.064,58.392999999999994,0.011595018087280527,30.563,27.829999999999995,L
2020-05-28 11:23:30,94807.35444444444,58.42333333333334,0.007071067811865444,30.554444444444446,27.868888888888893,L
2020-05-28 11:23:40,94807.04699999999,58.42,0.004714045207910216,30.564,27.856,L
2020-05-28 11:23:50,94808.04699999999,58.412,0.004216370213560978,30.57,27.842,L
2020-05-28 11:24:00,94807.255,58.372,0.027808871486152124,30.599,27.773,L
2020-05-28 11:24:10,94806.652,58.31200000000001,0.013984117975604364,30.607999999999993,27.70400000000002,L
2020-05-28 11:24:20,94805.684,58.327,0.016363916944845604,30.58899999999999,27.738000000000007,L
2020-05-28 11:24:30,94806.30900000001,58.334,0.011737877907770882,30.591999999999995,27.742000000000008,L
2020-05-28 11:24:40,94807.58800000002,58.333000000000006,0.02451756739790859,30.580999999999996,27.75200000000001,L
2020-05-28 11:24:50,94808.094,58.34100000000002,0.0031622776601676187,30.572999999999997,27.768000000000026,L
2020-05-28 11:25:00,94808.77222222224,58.36777777777778,0.025385910352879917,30.554444444444446,27.813333333333336,L
2020-05-28 11:25:10,94808.401,58.38599999999999,0.018378731669451687,30.544,27.841999999999988,L
2020-05-28 11:25:20,94809.40142857144,58.43428571428571,0.01618347187425396,30.530000000000005,27.904285714285702,L
2020-05-28 11:25:30,94810.39099999999,58.477999999999994,0.015491933384828642,30.512999999999998,27.964999999999996,L
2020-05-28 11:25:40,94810.98300000001,58.503,0.006749485577103043,30.510999999999996,27.992000000000004,L
2020-05-28 11:25:50,94808.69099999998,58.50999999999999,0.009428090415817944,30.505000000000003,28.00499999999999,L
2020-05-28 11:26:00,94808.949,58.501999999999995,0.011352924243953844,30.521000000000004,27.98099999999999,L
2020-05-28 11:26:10,94807.894,58.48100000000001,0.00737864787373104,30.522000000000002,27.959000000000007,L
2020-05-28 11:26:20,94807.59400000001,58.496,0.005163977794941366,30.517999999999994,27.97800000000001,L
2020-05-28 11:26:30,94807.704,58.49100000000001,0.0031622776601710613,30.526999999999997,27.96400000000001,L
2020-05-28 11:26:40,94806.19444444444,58.47666666666666,0.008660254037844593,30.534444444444446,27.942222222222213,L
2020-05-28 11:26:50,94807.30333333333,58.39111111111111,0.019002923751650427,30.554444444444446,27.836666666666662,L
2020-05-28 11:27:00,94807.729,58.35300000000001,0.008232726023485314,30.559999999999995,27.793000000000013,L
2020-05-28 11:27:10,94805.15999999999,58.327999999999996,0.007888106377469051,30.559999999999995,27.768,L
2020-05-28 11:27:20,94808.111,58.347,0.012516655570344516,30.547000000000004,27.799999999999997,L
2020-05-28 11:27:30,94809.50888888887,58.403333333333336,0.034278273002004034,30.517777777777773,27.885555555555563,L
2020-05-28 11:27:40,94809.614,58.482000000000006,0.013165611772087247,30.500999999999998,27.98100000000001,L
